Time,Steps,TimePerStep
4574669, 2672391, 1.71183
4356294, 2672389, 1.63011
4576932, 2672395, 1.71267
4546626, 2672389, 1.70133
4514138, 2672391, 1.68918
4433004, 2672391, 1.65882
4518259, 2672389, 1.69072
4614531, 2672391, 1.72674
4582869, 2672393, 1.71489
4516321, 2672391, 1.68999
4566708, 2672387, 1.70885
4419206, 2672387, 1.65365
4528168, 2672389, 1.69443
4490842, 2672385, 1.68046
4479042, 2672385, 1.67605
4571284, 2672391, 1.71056
4451575, 2672387, 1.66577
4544039, 2672385, 1.70037
4519300, 2672385, 1.69111
4392970, 2672385, 1.64384
4487037, 2672385, 1.67904
4531040, 2672389, 1.6955
4545050, 2672391, 1.70074
4477263, 2672387, 1.67538
4524494, 2672385, 1.69305
4513110, 2672391, 1.68879
4469545, 2672389, 1.67249
4535231, 2672389, 1.69707
4580548, 2672389, 1.71403
4515568, 2672387, 1.68971
4518902, 2672387, 1.69096
4483348, 2672391, 1.67765
4525658, 2672389, 1.69349
4561663, 2672387, 1.70696
4415047, 2672389, 1.6521
4463026, 2672389, 1.67005
4505963, 2672387, 1.68612
4427321, 2672391, 1.65669
4440690, 2672393, 1.66169
4421124, 2672387, 1.65437
4478327, 2672391, 1.67578
4483845, 2672387, 1.67784
4438718, 2672391, 1.66095
4520228, 2672391, 1.69145
4401518, 2672391, 1.64703
4591905, 2672387, 1.71828
4486519, 2672385, 1.67884
4549994, 2672389, 1.70259
4500510, 2672387, 1.68408
4582469, 2672387, 1.71475
4475168, 2672389, 1.67459
4533772, 2672389, 1.69652
4481731, 2672385, 1.67705
4468420, 2672387, 1.67207
4460854, 2672387, 1.66924
4452258, 2672385, 1.66602
4531438, 2672385, 1.69565
4581502, 2672389, 1.71438
4498888, 2672387, 1.68347
4544370, 2672387, 1.70049
4493491, 2672387, 1.68145
4522427, 2672387, 1.69228
4471948, 2672393, 1.67339
4602685, 2672391, 1.72231
4374548, 2672389, 1.63694
4499656, 2672391, 1.68376
4558467, 2672391, 1.70576
4413743, 2672391, 1.65161
4520303, 2672389, 1.69148
4536183, 2672385, 1.69743
4532816, 2672389, 1.69617
4541761, 2672385, 1.69952
4450257, 2672391, 1.66527
4547427, 2672389, 1.70163
4522843, 2672393, 1.69243
4498534, 2672393, 1.68334
4480609, 2672393, 1.67663
4508645, 2672387, 1.68712
4526746, 2672393, 1.69389
4607539, 2672399, 1.72412
4524453, 2672389, 1.69304
4561889, 2672385, 1.70705
4521803, 2672391, 1.69204
4537598, 2672389, 1.69796
4535930, 2672391, 1.69733
4491471, 2672387, 1.6807
4761302, 2672391, 1.78166
4504057, 2672389, 1.6854
4503392, 2672391, 1.68515
4488223, 2672387, 1.67948
4430148, 2672389, 1.65775
4523726, 2672387, 1.69277
4562883, 2672389, 1.70742
4525955, 2672395, 1.6936
4582656, 2672387, 1.71482
4500781, 2672387, 1.68418
4504816, 2672387, 1.68569
4494867, 2672389, 1.68197
4460641, 2672387, 1.66916
4549532, 2672387, 1.70242
4535161, 2672387, 1.69705
4516814, 2672389, 1.69018
4591776, 2672385, 1.71823
4550802, 2672387, 1.7029
4524473, 2672391, 1.69304
4555917, 2672387, 1.70481
4533239, 2672385, 1.69633
4500305, 2672387, 1.684
4571516, 2672389, 1.71065
4566179, 2672387, 1.70865
4586751, 2672385, 1.71635
4551874, 2672385, 1.7033
4555137, 2672385, 1.70452
4427228, 2672389, 1.65666
4486140, 2672391, 1.6787
4528293, 2672389, 1.69447
4313817, 2672393, 1.61422
4556005, 2672389, 1.70484
4553507, 2672391, 1.70391
4566858, 2672389, 1.7089
4571746, 2672389, 1.71073
4514241, 2672395, 1.68921
4515617, 2672389, 1.68973
4526308, 2672391, 1.69373
4548109, 2672393, 1.70189
4556002, 2672391, 1.70484
4493268, 2672389, 1.68137
4438028, 2672385, 1.6607
4515152, 2672389, 1.68956
4561700, 2672391, 1.70697
4482390, 2672387, 1.6773
4505665, 2672387, 1.68601
4535190, 2672393, 1.69705
4546064, 2672391, 1.70112
4553768, 2672393, 1.704
4308411, 2672385, 1.6122
4515711, 2672387, 1.68977
4502643, 2672387, 1.68488
4483883, 2672389, 1.67786
4446808, 2672395, 1.66398
4478223, 2672389, 1.67574
4498718, 2672391, 1.68341
4523000, 2672389, 1.69249
4523061, 2672389, 1.69252
4528614, 2672391, 1.69459
4476592, 2672389, 1.67513
4540953, 2672387, 1.69921
4304368, 2672387, 1.61068
4586671, 2672385, 1.71632
4488479, 2672385, 1.67958
4506628, 2672389, 1.68637
4537865, 2672387, 1.69806
4500576, 2672391, 1.6841
4454960, 2672387, 1.66703
4514179, 2672389, 1.68919
4481185, 2672385, 1.67685
4532019, 2672389, 1.69587
4525804, 2672387, 1.69354
4514425, 2672385, 1.68929
4680506, 2672387, 1.75143
4519011, 2672387, 1.691
4535756, 2672385, 1.69727
4456281, 2672385, 1.66753
4504171, 2672391, 1.68545
4536712, 2672385, 1.69763
4504575, 2672385, 1.6856
4488379, 2672391, 1.67954
4581033, 2672389, 1.71421
4465911, 2672391, 1.67113
4537935, 2672389, 1.69808
4548783, 2672389, 1.70214
4503677, 2672391, 1.68526
4580074, 2672389, 1.71385
4533962, 2672393, 1.69659
4525963, 2672387, 1.6936
4530803, 2672387, 1.69541
4564242, 2672389, 1.70793
4477798, 2672387, 1.67558
4495355, 2672385, 1.68215
4566989, 2672387, 1.70895
4507282, 2672393, 1.68661
4505685, 2672387, 1.68602
4494066, 2672387, 1.68167
4524493, 2672387, 1.69305
4482925, 2672387, 1.6775
4515767, 2672387, 1.68979
4463457, 2672385, 1.67021
4494267, 2672387, 1.68174
4577395, 2672385, 1.71285
4510354, 2672385, 1.68776
4470301, 2672387, 1.67277
4533439, 2672385, 1.6964
4583108, 2672389, 1.71499
4517832, 2672389, 1.69056
4479776, 2672389, 1.67632
4528049, 2672387, 1.69438
4527086, 2672391, 1.69402
4530735, 2672389, 1.69539
4497999, 2672391, 1.68314
4384672, 2672389, 1.64073
4445170, 2672385, 1.66337
4492961, 2672391, 1.68125
4514272, 2672395, 1.68922
4445000, 2672385, 1.66331
4549926, 2672387, 1.70257
4467731, 2672391, 1.67181
4436594, 2672389, 1.66016
4402067, 2672385, 1.64724
4497824, 2672391, 1.68307
4447306, 2672389, 1.66417
4494537, 2672387, 1.68184
4516023, 2672385, 1.68988
4490443, 2672389, 1.68031
4561845, 2672385, 1.70703
4582658, 2672391, 1.71482
4534776, 2672389, 1.6969
4528063, 2672387, 1.69439
4489661, 2672387, 1.68002
4563185, 2672391, 1.70753
4497854, 2672387, 1.68308
4519784, 2672391, 1.69129
4485053, 2672389, 1.67829
4546934, 2672385, 1.70145
4409717, 2672395, 1.6501
4518859, 2672391, 1.69094
4506146, 2672391, 1.68619
4509625, 2672387, 1.68749
4513682, 2672391, 1.68901
4533508, 2672389, 1.69643
4544916, 2672391, 1.70069
4496631, 2672391, 1.68262
4482088, 2672393, 1.67718
4545588, 2672387, 1.70095
4524689, 2672385, 1.69313
4540540, 2672387, 1.69906
4471159, 2672389, 1.67309
4521465, 2672389, 1.69192
4542066, 2672389, 1.69963
4457678, 2672391, 1.66805
4546186, 2672393, 1.70117
4498807, 2672389, 1.68344
4505119, 2672391, 1.6858
4503351, 2672391, 1.68514
4500184, 2672459, 1.68391
4471252, 2672391, 1.67313
4515400, 2672389, 1.68965
4476856, 2672389, 1.67523
4453820, 2672387, 1.66661
4503283, 2672389, 1.68512
4443239, 2672385, 1.66265
4400323, 2672389, 1.64659
4553844, 2672385, 1.70404
4434778, 2672391, 1.65948
4503018, 2672389, 1.68502
4468973, 2672391, 1.67228
4558235, 2672395, 1.70567
4520830, 2672387, 1.69168
4482226, 2672385, 1.67724
4376361, 2672389, 1.63762
4472152, 2672389, 1.67347
4482042, 2672389, 1.67717
4545114, 2672391, 1.70077
4336795, 2672389, 1.62282
4472617, 2672391, 1.67364
4501137, 2672389, 1.68431
4471287, 2672391, 1.67314
4504089, 2672391, 1.68542
4461891, 2672389, 1.66963
4535374, 2672395, 1.69712
4488244, 2672389, 1.67949
4458981, 2672391, 1.66854
4517390, 2672395, 1.69039
4598272, 2672397, 1.72065
4518535, 2672393, 1.69082
4588788, 2672391, 1.71711
4557935, 2672389, 1.70557
4473100, 2672387, 1.67382
4466203, 2672393, 1.67124
4456381, 2672385, 1.66757
4363856, 2672387, 1.63294
4531362, 2672389, 1.69562
4511946, 2672391, 1.68836
4447780, 2672389, 1.66435
4480219, 2672391, 1.67648
4451969, 2672391, 1.66591
4451956, 2672391, 1.66591
4519721, 2672389, 1.69127
4538616, 2672391, 1.69834
4544572, 2672391, 1.70056
4495247, 2672389, 1.68211
4381879, 2672387, 1.63969
4519453, 2672391, 1.69116
4361346, 2672389, 1.632
4393706, 2672385, 1.64411
4420671, 2672387, 1.6542
4544176, 2672395, 1.70041
4502713, 2672393, 1.6849
4468998, 2672393, 1.67228
4495541, 2672389, 1.68222
4563038, 2672385, 1.70748
4526985, 2672389, 1.69398
4506762, 2672385, 1.68642
4516057, 2672389, 1.6899
4416165, 2672391, 1.65251
4573907, 2672389, 1.71154
4426483, 2672391, 1.65638
4415572, 2672385, 1.6523
4502625, 2672391, 1.68487
4477581, 2672387, 1.6755
4480863, 2672387, 1.67673
4517389, 2672385, 1.6904
4519791, 2672385, 1.69129
4497759, 2672389, 1.68305
4558618, 2672389, 1.70582
4512273, 2672387, 1.68848
4547753, 2672393, 1.70175
4497921, 2672393, 1.68311
4518911, 2672387, 1.69096
4566497, 2672389, 1.70877
4501798, 2672391, 1.68456
4497560, 2672387, 1.68297
4523823, 2672389, 1.6928
4524531, 2672397, 1.69306
4477502, 2672397, 1.67546
4532615, 2672391, 1.69609
4522934, 2672393, 1.69247
4470397, 2672391, 1.67281
4496463, 2672393, 1.68256
4345799, 2672389, 1.62619
4546276, 2672389, 1.7012
4437143, 2672391, 1.66036
4558476, 2672391, 1.70577
4487700, 2672389, 1.67928
4366641, 2672385, 1.63399
4532214, 2672389, 1.69594
4533037, 2672385, 1.69625
4582589, 2672389, 1.71479
4433311, 2672391, 1.65893
4489592, 2672387, 1.67999
4564834, 2672387, 1.70815
4494391, 2672389, 1.68179
4501912, 2672389, 1.6846
4572475, 2672389, 1.71101
4532513, 2672391, 1.69605
4490291, 2672391, 1.68025
4500858, 2672385, 1.68421
4464476, 2672389, 1.67059
4506783, 2672385, 1.68643
4537143, 2672385, 1.69779
4545850, 2672389, 1.70104
4514685, 2672389, 1.68938
4567622, 2672389, 1.70919
4508162, 2672393, 1.68694
4574198, 2672389, 1.71165
4501365, 2672389, 1.6844
4440233, 2672391, 1.66152
4447232, 2672389, 1.66414
4503411, 2672391, 1.68516
4515909, 2672389, 1.68984
4480106, 2672387, 1.67644
4469845, 2672387, 1.6726
4475621, 2672393, 1.67476
4456557, 2672393, 1.66763
4470480, 2672399, 1.67283
4479957, 2672395, 1.67638
4496344, 2672389, 1.68252
4433885, 2672389, 1.65915
4581638, 2672391, 1.71443
4371714, 2672391, 1.63588
4473141, 2672387, 1.67384
4466848, 2672389, 1.67148
4511991, 2672391, 1.68837
4470455, 2672385, 1.67283
4508221, 2672387, 1.68696
4554795, 2672389, 1.70439
4457181, 2672385, 1.66787
4528977, 2672389, 1.69473
4444294, 2672387, 1.66304
4521093, 2672389, 1.69178
4522571, 2672393, 1.69233
4498366, 2672389, 1.68328
4586972, 2672387, 1.71643
4476702, 2672385, 1.67517
4519822, 2672385, 1.69131
4518623, 2672393, 1.69085
4458461, 2672385, 1.66835
4539825, 2672389, 1.69879
4476337, 2672391, 1.67503
4499287, 2672389, 1.68362
4506735, 2672387, 1.68641
4488844, 2672391, 1.67971
4501110, 2672387, 1.6843
4565726, 2672391, 1.70848
4574290, 2672389, 1.71169
4569621, 2672387, 1.70994
4543176, 2672387, 1.70004
4592139, 2672387, 1.71837
4534937, 2672393, 1.69696
4566207, 2672387, 1.70866
4530232, 2672389, 1.6952
4533826, 2672387, 1.69655
4563741, 2672387, 1.70774
4477921, 2672391, 1.67562
4497859, 2672387, 1.68309
4520534, 2672391, 1.69157
4476179, 2672389, 1.67497
4508856, 2672397, 1.6872
4516026, 2672391, 1.68988
4505307, 2672387, 1.68587
4499143, 2672385, 1.68357
4546764, 2672389, 1.70139
4488974, 2672387, 1.67976
4523872, 2672387, 1.69282
4548572, 2672389, 1.70206
4508451, 2672389, 1.68705
4542287, 2672389, 1.69971
4509607, 2672391, 1.68748
4481085, 2672387, 1.67681
4442332, 2672387, 1.66231
4588819, 2672389, 1.71712
4561946, 2672393, 1.70706
4521310, 2672389, 1.69186
4498069, 2672389, 1.68316
4502576, 2672385, 1.68485
4500124, 2672391, 1.68393
4473506, 2672391, 1.67397
4520523, 2672385, 1.69157
4630054, 2672393, 1.73255
4498478, 2672391, 1.68332
4534207, 2672387, 1.69669
4496516, 2672387, 1.68258
4579829, 2672389, 1.71376
4531859, 2672385, 1.69581
4532390, 2672385, 1.69601
4502266, 2672387, 1.68474
4536932, 2672391, 1.69771
4507031, 2672389, 1.68652
4465983, 2672391, 1.67116
4495671, 2672389, 1.68227
4530764, 2672387, 1.6954
4457220, 2672395, 1.66787
4543994, 2672385, 1.70035
4513469, 2672387, 1.68893
4529845, 2672391, 1.69505
4543776, 2672385, 1.70027
4546942, 2672387, 1.70145
4550505, 2672389, 1.70279
4443572, 2672385, 1.66277
4466711, 2672389, 1.67143
4501754, 2672385, 1.68455
4452811, 2672393, 1.66623
4538118, 2672393, 1.69815
4528903, 2672387, 1.6947
4604235, 2672393, 1.72289
4551751, 2672387, 1.70325
4539700, 2672391, 1.69874
4551703, 2672385, 1.70324
4472497, 2672391, 1.67359
4476825, 2672387, 1.67522
4454718, 2672391, 1.66694
4509236, 2672391, 1.68734
4480032, 2672387, 1.67642
4522390, 2672385, 1.69227
4513048, 2672389, 1.68877
4601915, 2672389, 1.72202
4618501, 2672391, 1.72823
4584217, 2672389, 1.7154
4576450, 2672391, 1.71249
4552183, 2672391, 1.70341
4488786, 2672395, 1.67969
4474228, 2672391, 1.67424
4514756, 2672389, 1.68941
4516502, 2672385, 1.69006
4558938, 2672385, 1.70594
4535579, 2672391, 1.6972
4480547, 2672391, 1.67661
4570544, 2672389, 1.71028
4478405, 2672389, 1.67581
4519397, 2672389, 1.69114
4563123, 2672387, 1.70751
4474689, 2672387, 1.67442
4562830, 2672389, 1.7074
4541135, 2672391, 1.69928
4461204, 2672389, 1.66937
4510801, 2672385, 1.68793
4560710, 2672389, 1.7066
4490022, 2672387, 1.68015
4553223, 2672387, 1.7038
4522319, 2672391, 1.69224
4558284, 2672391, 1.7057
4512192, 2672385, 1.68845
4489118, 2672393, 1.67981
4531988, 2672391, 1.69586
4587866, 2672395, 1.71676
4585471, 2672391, 1.71587
4559677, 2672385, 1.70622
4513087, 2672385, 1.68879
4556214, 2672385, 1.70492
4520185, 2672391, 1.69144
4539613, 2672389, 1.69871
